datetime,open,high,low,close,volume
2021-01-01,37.336,38.952,37.0,37.726,7207.71064424
2021-01-02,37.745,38.836,36.813,38.2,9604.18477485
2021-01-03,38.198,41.6,37.778,41.217,10845.73314312
2021-01-04,41.222,43.183,38.072,41.102,15669.54332464
2021-01-05,41.141,41.73,38.82,41.73,8717.12717443
2021-01-06,41.73,42.199,40.484,42.199,10446.7873183
2021-01-07,42.207,44.53,40.708,43.666,20520.6836178
2021-01-08,43.666,44.0,40.263,42.445,12983.81111928
2021-01-09,42.382,44.034,41.563,43.735,5853.75946176
2021-01-10,43.855,45.093,39.681,42.399,10405.99629402
2021-01-11,42.405,42.405,35.11,38.16,15240.47648859
2021-01-12,38.182,40.0,37.11,38.16,5806.95603434
2021-01-13,38.218,40.459,37.045,40.149,9416.99423352
2021-01-14,40.125,41.957,39.565,41.86,11426.38679471
2021-01-15,41.834,42.552,38.755,40.935,9304.43842999
2021-01-16,41.0,44.086,40.739,43.139,11437.85147387
2021-01-17,43.066,46.751,40.909,45.914,21809.82297765
2021-01-18,45.99,46.876,44.031,45.349,16689.52470905
2021-01-19,45.348,47.129,41.742,42.5,17042.52518056
2021-01-20,42.489,42.823,40.319,42.623,10114.92876271
2021-01-21,42.621,42.621,38.238,38.522,10293.77249554
2021-01-22,38.678,41.457,36.865,40.886,10577.90447582
2021-01-23,40.865,41.825,39.462,40.94,6491.92449965
2021-01-24,40.73,42.2,40.36,41.834,9186.61955155
2021-01-25,41.792,43.379,40.569,41.84,12107.3406411
2021-01-26,41.736,42.536,39.832,41.827,8089.02362337
2021-01-27,41.863,42.05,39.5,41.001,10187.48886212
2021-01-28,40.808,46.385,40.339,42.511,11973.92747665
2021-01-29,42.502,43.997,41.84,42.89,10036.53345187
2021-01-30,42.873,45.085,42.61,44.718,6852.83541645
2021-01-31,44.815,45.799,43.305,44.354,16482.27713941
2021-02-01,44.257,52.341,43.458,51.425,43441.7909521
2021-02-02,51.381,53.0,49.292,51.043,22879.84751625
2021-02-03,50.98,52.73,49.83,52.167,20966.29117214
2021-02-04,52.104,57.058,51.332,55.839,29354.62102726
2021-02-05,56.026,68.657,56.026,67.678,31872.70064903
2021-02-06,67.68,75.458,61.74,72.843,52377.778976
2021-02-07,72.885,74.71,59.266,68.386,20946.58274056
2021-02-08,68.393,79.854,67.738,79.854,30355.2031969
2021-02-09,79.876,116.0,78.162,107.355,82247.21889136
2021-02-10,107.355,149.0,107.268,129.0,103666.55684034
2021-02-11,129.0,132.5,117.652,123.67,47693.74249613
2021-02-12,124.304,140.908,120.366,137.141,32797.22004651
2021-02-13,136.478,138.6,125.0,133.254,17727.68817722
2021-02-14,133.652,140.0,128.493,135.9,20221.17229974
2021-02-15,135.879,139.899,117.3,129.938,22528.31491496
2021-02-16,129.938,133.524,126.2,129.832,14626.24916209
2021-02-17,130.005,176.181,126.854,165.324,51234.60200457
2021-02-18,165.324,200.608,163.0,195.851,62742.63023356
2021-02-19,196.071,350.0,195.184,334.73,178356.64305488
2021-02-20,334.734,336.997,220.0,253.154,149066.36738386
2021-02-21,253.154,309.25,250.0,294.649,110975.09751029
2021-02-22,295.0,295.604,220.0,267.325,106801.4993379
2021-02-23,267.568,269.276,180.987,231.468,127278.94492199
2021-02-24,231.029,282.697,213.582,254.44,96391.34226147
2021-02-25,254.365,265.327,231.225,234.6,52583.62714368
2021-02-26,234.661,239.214,209.0,221.978,56174.07064475
2021-02-27,221.97,237.912,219.319,225.008,28742.53965055
2021-02-28,225.102,229.0,195.0,210.165,34194.43079698
2021-03-01,210.248,259.845,209.221,254.82,63394.24593672
2021-03-02,254.901,264.846,227.0,239.931,46283.45627955
